browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,pune,ind,356005,mh,411030**,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,ProductReview_FullscreenImage,ProductReview_FullscreenImage,ProductReview_FullscreenImage,OMU,NON_LOGGED_IN,0,5,6,70,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Typed/Bookmarked,delhi,ind,356001,dl,110007,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,HomeFurnishing****,HomeDecor,FLIPKART:Product Page,Direct,NON_LOGGED_IN,0,5,6,388,0,2,2,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Typed/Bookmarked,ernakulam,ind,0,kl,682304****,1,1.6,language_NA,4,0,Windows 7,0,Y,Search,Grooming,Search Page,Wishlist**,ACTIVE,0,5,6,185,0,16,2,6
Mozilla Firefox (unknown version)**,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Typed/Bookmarked,slough,gbr,826044,slg,sl1 0sa,1,1.8.5,b'English (United States)',0,0,Windows 7,0,Y,View All Sellers ,HomeDecor,View All Sellers,Direct,NON_LOGGED_IN,0,5,6,186,0,2,2,6
Chrome 38**,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,kannur****,ind,356007,tn,603102****,1,1.6,b'English (United States)',0,8808269,Android 7.1.1,0,Y,WomenWestern,WomenWestern,FLIPKART:Product Page,CLP,INACTIVE,0,5,6,8,0,16,9,3
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,bilaspur****,ind,0,dd****,482001****,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,HomePage,HomePage,FLIPKART:HomePage,AS_QueryStore_HistoryAutoSuggest_0_0**,NON_LOGGED_IN,0,5,6,185,0,16,16,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,bangalore,ind,356004,ka,560051****,1,1.6,b'English (United States)',0,0,OS X 10.13,0,Y,HomePage,HomePage,FLIPKART:HomePage,post_Finding method (ev61)_NA,ACTIVE,0,5,1,388,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,bangalore,ind,356004,ka,560001**,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,HouseHold****,HomeImprovementTool**,FLIPKART:Product Page,Recently Viewed,INACTIVE,0,5,6,185,0,12,12,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,pune,ind,356005,mh,411033,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,Mobile**,Mobile,FLIPKART:Product Page,Menu,NON_LOGGED_IN,0,5,6,185,0,5,5,2
Mozilla Firefox (unknown version)**,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,nalgonda****,ken,0,az****,geo_zip_NA,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Watch**,Watch,FLIPKART:Product Page,Search,NON_LOGGED_IN,0,5,6,185,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,Commercial (mostly U.S.),Other Web Sites,valsad**,ind,356008,gj,400010****,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Mobile**,Mobile,FLIPKART:Product Page,Search,NON_LOGGED_IN,0,5,6,185,0,16,16,3
Google Chrome (unknown version)**,24,JS-1.5.1,LAN/Wifi,Network (mostly U.S.),Typed/Bookmarked,amsterdam,nld,0,nh,111 44****,1,1.6,b'English (United Kingdom)',0,0,Linux,0,Y,Mobile**,Mobile,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,NON_LOGGED_IN,0,5,6,70,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,pune,ind,356005,mh,411033,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,HomePage,HomePage,FLIPKART:HomePage,Direct,NON_LOGGED_IN,0,5,6,185,0,2,5,6
